City_ID,City,Cloudiness,Country,Current Description,Date,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
120,Sitka,100,US,overcast clouds,2022-02-05 05:21:16,75,57.0531,-135.33,42.69,0,0,5.75
121,Airai,95,TL,overcast clouds,2022-02-05 05:11:25,82,-8.9266,125.4092,68.45,0,0,3.36
122,Walvis Bay,76,NA,broken clouds,2022-02-05 05:13:28,84,-22.9575,14.5053,66.09,0,0,3.56
123,Cooma,8,AU,clear sky,2022-02-05 05:21:16,43,-36.2333,149.1333,66.69,0,0,10.94
124,Kampot,45,KH,scattered clouds,2022-02-05 05:21:17,48,10.6167,104.1833,86.05,0,0,10.29
125,Nabire,99,ID,overcast clouds,2022-02-05 05:13:10,67,-3.3667,135.4833,85.8,0,0,8.5
126,Karratha,68,AU,broken clouds,2022-02-05 05:12:42,52,-20.7377,116.8463,93.94,0,0,17.9
127,San Quintin,17,MX,few clouds,2022-02-05 05:15:31,50,30.4833,-115.95,55.74,0,0,3.91
128,Tiksi,73,RU,broken clouds,2022-02-05 05:12:58,98,71.6872,128.8694,-22.16,0,0,7.45
129,Galesong,99,ID,overcast clouds,2022-02-05 05:21:18,70,-5.3166,119.3661,87.82,0,0,10.11
130,Namibe,33,AO,scattered clouds,2022-02-05 05:12:06,66,-15.1961,12.1522,71.19,0,0,5.84
131,Shelburne,100,CA,overcast clouds,2022-02-05 05:21:18,88,44.0787,-80.2041,5.76,0,0,7.58
132,Smithers,100,CA,overcast clouds,2022-02-05 05:21:19,75,54.7804,-127.1743,39.52,0,0,2.3
133,Nanortalik,71,GL,broken clouds,2022-02-05 05:20:40,60,60.1432,-45.2371,12.31,0,0,38.88
134,Ende,98,ID,overcast clouds,2022-02-05 05:21:19,81,-8.8432,121.6623,82.85,0,0,2.51
135,Gat,89,IL,overcast clouds,2022-02-05 05:17:39,100,31.61,34.7642,52.48,0,0,10.16
136,Chegdomyn,100,RU,overcast clouds,2022-02-05 05:21:20,84,51.1167,133.0167,2.77,0,0,2.48
137,Ferme-Neuve,100,CA,overcast clouds,2022-02-05 05:21:21,92,46.7001,-75.4493,1.18,0,0,3.51
138,Barrow,100,US,overcast clouds,2022-02-05 05:14:39,70,71.2906,-156.7887,-11.18,0,0,6.91
139,Buala,100,SB,light rain,2022-02-05 05:14:26,77,-8.145,159.5921,84.16,0,0,9.26
140,Korla,100,CN,overcast clouds,2022-02-05 05:12:03,38,41.7597,86.1469,28.58,0,0,6.55
141,Kemijarvi,100,FI,light snow,2022-02-05 05:21:22,93,66.7131,27.4306,21.6,0,0,12.03
142,Arraial Do Cabo,97,BR,overcast clouds,2022-02-05 05:20:36,88,-22.9661,-42.0278,75.49,0,0,21.16
143,Erzin,0,TR,clear sky,2022-02-05 05:14:32,73,36.9559,36.2,41.52,0,0,2.21
144,Wanaka,100,NZ,overcast clouds,2022-02-05 05:21:22,73,-44.7,169.15,55.94,0,0,4.36
145,Hofn,100,IS,overcast clouds,2022-02-05 05:07:45,66,64.2539,-15.2082,26.33,0,0,14.74
146,Talnakh,93,RU,overcast clouds,2022-02-05 05:19:23,96,69.4865,88.3972,-7.42,0,0,3.98
147,Atar,21,MR,few clouds,2022-02-05 05:08:58,12,20.5169,-13.0499,66.83,0,0,5.61
148,Maceio,40,BR,scattered clouds,2022-02-05 05:16:16,88,-9.6658,-35.7353,74.64,0,0,2.3
149,Dossor,100,KZ,overcast clouds,2022-02-05 05:21:24,92,47.5272,52.9811,32.41,0,0,5.08
150,Bagdarin,15,RU,few clouds,2022-02-05 05:21:24,70,54.4333,113.6,8.73,0,0,4.63
151,Patacamaya,100,BO,overcast clouds,2022-02-05 05:21:24,75,-17.2333,-67.9167,46.49,0,0,5.41
152,At-Bashi,15,KG,few clouds,2022-02-05 05:21:25,71,41.1702,75.8106,7.54,0,0,2.24
153,Moca,20,DO,few clouds,2022-02-05 05:21:26,97,19.5,-70.5,57.31,0,0,0.0
154,Calvia,100,ES,overcast clouds,2022-02-05 05:21:26,81,39.5657,2.5062,52.09,0,0,2.1
155,Codrington,99,AU,overcast clouds,2022-02-05 05:12:01,58,-38.2667,141.9667,69.3,0,0,20.67
156,San Patricio,6,US,clear sky,2022-02-05 05:21:27,77,28.017,-97.5169,39.83,0,0,12.33
157,Poum,97,NC,light rain,2022-02-05 05:15:51,75,-20.2333,164.0167,81.48,0,0,14.07
158,Pouembout,100,NC,moderate rain,2022-02-05 05:21:27,81,-21.1333,164.9,82.2,0,0,11.1
159,Gillingham,2,GB,clear sky,2022-02-05 05:21:28,79,51.3891,0.5486,38.71,0,0,8.01
160,Domoni,34,KM,scattered clouds,2022-02-05 05:21:28,75,-12.2569,44.5319,82.4,0,0,9.33
161,La Rioja,100,ES,overcast clouds,2022-02-05 05:21:29,94,42.25,-2.5,37.18,0,0,3.2
162,Tasiilaq,100,GL,overcast clouds,2022-02-05 05:21:29,66,65.6145,-37.6368,24.96,0,0,38.5
163,Bambous Virieux,75,MU,light rain,2022-02-05 05:21:29,83,-20.3428,57.7575,80.85,0,0,19.57
164,Kikwit,97,CD,overcast clouds,2022-02-05 05:21:30,92,-5.041,18.8162,67.57,0,0,2.24
165,Mayumba,100,GA,overcast clouds,2022-02-05 05:11:42,84,-3.432,10.6554,75.56,0,0,3.78
166,Nueva Loja,100,EC,overcast clouds,2022-02-05 05:20:15,98,0.0847,-76.8828,70.56,0,0,1.66
167,Yulara,0,AU,clear sky,2022-02-05 05:21:30,16,-25.2406,130.9889,87.64,0,0,8.05
168,Rodrigues Alves,100,BR,overcast clouds,2022-02-05 05:12:34,98,-7.738,-72.6509,72.05,0,0,2.62
169,Husavik,98,IS,overcast clouds,2022-02-05 05:12:41,94,66.0449,-17.3389,15.64,0,0,7.85
170,Quang Ngai,100,VN,overcast clouds,2022-02-05 05:11:54,91,15.1167,108.8,70.9,0,0,7.45
171,Chokwe,42,MZ,scattered clouds,2022-02-05 05:21:32,72,-24.5333,32.9833,76.86,0,0,8.66
172,Trat,58,TH,broken clouds,2022-02-05 05:21:32,41,12.5,102.5,88.92,0,0,14.76
